,heure_comptage,comptage_h
0,0,19.944108364018938
1,1,11.289636875867563
2,2,7.518181368833822
3,3,4.184892027260037
4,4,3.2120896000525705
5,5,4.660818857541785
6,6,10.332542113952018
7,7,34.746004106776184
8,8,103.77977867781767
9,9,107.42538980990092
10,10,60.06078028747433
11,11,55.02752384003154
12,12,68.16390924325567
13,13,67.9919911286348
14,14,66.66931158259612
15,15,69.55607672403171
16,16,79.70499129234712
17,17,103.53760834736886
18,18,137.59196016237448
19,19,128.03243696236228
20,20,80.39099399544935
21,21,47.04746611909651
22,22,36.07025064879603
23,23,30.59875843720747
