,description,population,start_date,end_date,location,zones,annee_scolaire
0,Vacances de Noël,-,2018-12-22 00:00:00+01:00,2019-01-07 00:00:00+01:00,Paris,Zone C,2018-2019
1,Vacances d'Hiver,-,2019-02-23 00:00:00+01:00,2019-03-11 00:00:00+01:00,Paris,Zone C,2018-2019
2,Vacances de Printemps,-,2019-04-20 00:00:00+02:00,2019-05-06 00:00:00+02:00,Paris,Zone C,2018-2019
3,Pont de l'Ascension,-,2019-05-29 00:00:00+02:00,2019-06-03 00:00:00+02:00,Paris,Zone C,2018-2019
4,Vacances d'Été,Élèves,2019-07-06 00:00:00+02:00,2019-09-02 00:00:00+02:00,Paris,Zone C,2018-2019
5,Vacances de la Toussaint,-,2019-10-19 00:00:00+02:00,2019-11-04 00:00:00+01:00,Paris,Zone C,2019-2020
6,Vacances de Noël,-,2019-12-21 00:00:00+01:00,2020-01-06 00:00:00+01:00,Paris,Zone C,2019-2020
7,Vacances d'Hiver,-,2020-02-08 00:00:00+01:00,2020-02-24 00:00:00+01:00,Paris,Zone C,2019-2020
8,Vacances de Printemps,-,2020-04-04 00:00:00+02:00,2020-04-20 00:00:00+02:00,Paris,Zone C,2019-2020
9,Pont de l'Ascension,-,2020-05-20 00:00:00+02:00,2020-05-25 00:00:00+02:00,Paris,Zone C,2019-2020
10,Vacances d'Été,-,2020-07-04 00:00:00+02:00,2020-09-01 00:00:00+02:00,Paris,Zone C,2019-2020
11,Vacances de la Toussaint,-,2020-10-17 00:00:00+02:00,2020-11-02 00:00:00+01:00,Paris,Zone C,2020-2021
12,Vacances de Noël,-,2020-12-19 00:00:00+01:00,2021-01-04 00:00:00+01:00,Paris,Zone C,2020-2021
13,Vacances d'Hiver,-,2021-02-13 00:00:00+01:00,2021-03-01 00:00:00+01:00,Paris,Zone C,2020-2021
14,Vacances de Printemps,-,2021-04-10 00:00:00+02:00,2021-04-26 00:00:00+02:00,Paris,Zone C,2020-2021
15,Pont de l'Ascension,-,2021-05-13 00:00:00+02:00,2021-05-17 00:00:00+02:00,Paris,Zone C,2020-2021
16,Vacances d'Été,Élèves,2021-07-06 00:00:00+02:00,2021-09-02 00:00:00+02:00,Paris,Zone C,2020-2021
17,Vacances de la Toussaint,-,2021-10-23 00:00:00+02:00,2021-11-08 00:00:00+01:00,Paris,Zone C,2021-2022
18,Vacances de Noël,-,2021-12-18 00:00:00+01:00,2022-01-03 00:00:00+01:00,Paris,Zone C,2021-2022
19,Vacances d'Hiver,-,2022-02-19 00:00:00+01:00,2022-03-07 00:00:00+01:00,Paris,Zone C,2021-2022
20,Vacances de Printemps,-,2022-04-23 00:00:00+02:00,2022-05-09 00:00:00+02:00,Paris,Zone C,2021-2022
21,Pont de l'Ascension,-,2022-05-26 00:00:00+02:00,2022-05-28 00:00:00+02:00,Paris,Zone C,2021-2022
22,Vacances d'Été,Élèves,2022-07-07 00:00:00+02:00,2022-09-01 00:00:00+02:00,Paris,Zone C,2021-2022
